"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","visibility","chronogroup","secondcentury","capacity","modcountry","romanregion","zotero","amphitheatrum","dimensionsunknown","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"altripaldaAmphitheater","Amphitheater at Altripalda","Altripalda","Abellinum","https://pleiades.stoa.org/places/432618","12","","amphitheater","none","republican",True,,"Italy","regio-i","","https://amphi-theatrum.de/1860.html",True,,,,,,14.825649,40.917353,303
"compsaAmphitheater","Amphitheater at Compsa","Compsa","Compsa","https://pleiades.stoa.org/places/442550","","","amphitheater","none","republican",True,,"Italy","regio-ii","","",True,,,,,,15.330556,40.870278,572
"yorkAmphitheater","Amphitheater at York","York","Eboracum","https://pleiades.stoa.org/places/89175","","","amphitheater","none","imperial",True,,"United Kingdom","britannia","","https://amphi-theatrum.de/1753.html",True,,,,,,-1.080278,53.958333,21
"barcelonaAmphitheater","Amphitheater at Barcelona","Barcelona","Barcino","https://pleiades.stoa.org/places/246343","","","amphitheater","none","imperial",True,,"Spain","tarraconensis","","https://amphi-theatrum.de/2613.html",False,,,117,93,,2.182077,41.383003,3
"istanbulAmphitheater","Amphitheater at Istanbul","Istanbul","Byzantium","https://pleiades.stoa.org/places/520985","","","amphitheater","none","imperial",True,,"Turkey","thracia","","https://amphi-theatrum.de/1735.html",True,,,,,,28.985442,41.014686,32
"chichesterAmphitheater","Amphitheater at Chichester","Chichester","Noviomagus Reginorum","https://pleiades.stoa.org/places/79622","","35","amphitheater","poor","flavian",True,,"United Kingdom","britannia","","https://amphi-theatrum.de/1492.html",False,56,47,,,,-0.771186,50.835394,14
"reggioEmiliaAmphitheater","Amphitheater at Reggio Emilia","Reggio Emilia","Regium Lepidi","https://pleiades.stoa.org/places/383755","","","amphitheater","none","imperial",True,,"Italy","regio-viii","","https://amphi-theatrum.de/2575.html",True,,,,,,10.629951,44.702888,59
"tharrosAmphitheater","Amphitheater at Tharros","Tharros","Tharros","https://pleiades.stoa.org/places/472032","","","amphitheater","good","imperial",True,,"Italy","corsica-et-sardinia","","",False,32,32,50,46,,8.440713,39.876577,27
"torreparedonesAmphitheater","Amphitheater at Torreparedones","Torreparedones","Colonia Virtus Iulia","https://pleiades.stoa.org/places/265938","","","amphitheater","poor","flavian",True,,"Spain","baetica","A3LTIU8B","",False,,,69,61,,-4.3806,37.752468,510
"nazilliAmphitheater","Amphitheater at Nazilli","Nazilli","Mastaura","https://pleiades.stoa.org/places/599790","","","amphitheater","good","severan",False,20000,"Turkey","asia","RXR56NIQ","https://amphi-theatrum.de/3060.html",True,,,,,,28.338099,37.955596,604
"trentoAmphitheater","Amphitheater at Trento","Trento","Tridentum","https://pleiades.stoa.org/places/383804","","","amphitheater","none","second-century",True,,"Italy","regio-x","WAQBUSAR","https://amphi-theatrum.de/3048.html",False,62,48,,,,11.125334,46.069205,248
"avenchesAmphitheater","Amphitheater at Avenches","Avenches","Aventicum","https://pleiades.stoa.org/places/177495","","104","amphitheater","good","second-century",True,13006,"Switzerland","germania-superior","LD7NNHSG","https://amphi-theatrum.de/2723.html",False,51,39,99,87,,7.042646,46.880971,470
"venafroAmphitheater","Amphitheater at Venafro","Venafro","Venafrum","https://pleiades.stoa.org/places/433185","","87","amphitheater","street-plan","imperial",True,15000,"Italy","regio-i","HQ9QC3FS","https://amphi-theatrum.de/1392.html",False,60,35,110,85,,14.046835,41.48255,176
"saintGeorgesDuBoisAmphitheater","Amphitheater at Saint-Georges-du-Bois","Saint-Georges-du-Bois","","","","103","amphitheater","poor","first-century",True,3000,"France","aquitania","ZSJDWT3E","https://amphi-theatrum.de/1529.html",False,54,30,65,50,,-0.749919,46.142723,39
"toledoAmphitheater","Amphitheater at Toledo","Toledo","Toletum","https://pleiades.stoa.org/places/266066","","","amphitheater","none","imperial",True,,"Spain","tarraconensis","9JJW3LUE","https://amphi-theatrum.de/3090.html",True,,,,,,-4.022888,39.865349,482
